Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
    1  147 0                  0          0          com.apple.kpi.bsd (24.6.0) F6A1B3D4-1EBB-3628-A1C5-89506C51DDEC <>
    2   11 0                  0          0          com.apple.kpi.dsep (24.6.0) F6A1B3D4-1EBB-3628-A1C5-89506C51DDEC <>
    3  174 0                  0          0          com.apple.kpi.iokit (24.6.0) F6A1B3D4-1EBB-3628-A1C5-89506C51DDEC <>
    4    0 0                  0          0          com.apple.kpi.kasan (24.6.0) F6A1B3D4-1EBB-3628-A1C5-89506C51DDEC <>
    5    0 0                  0          0          com.apple.kpi.kcov (24.6.0) F6A1B3D4-1EBB-3628-A1C5-89506C51DDEC <>
    6  179 0                  0          0          com.apple.kpi.libkern (24.6.0) F6A1B3D4-1EBB-3628-A1C5-89506C51DDEC <>
    7  159 0                  0          0          com.apple.kpi.mach (24.6.0) F6A1B3D4-1EBB-3628-A1C5-89506C51DDEC <>
    8  113 0                  0          0          com.apple.kpi.private (24.6.0) F6A1B3D4-1EBB-3628-A1C5-89506C51DDEC <>
    9  106 0                  0          0          com.apple.kpi.unsupported (24.6.0) F6A1B3D4-1EBB-3628-A1C5-89506C51DDEC <>
   10   17 0xffffff80031ea000 0x81fe0    0x81fe0    com.apple.kec.corecrypto (14.0) 73605282-B982-31D4-9F9C-3027B1F9F833 <9 8 7 6 3 1>
   11    0 0xffffff80018f6000 0x3000     0x3000     com.apple.kec.AppleEncryptedArchive (1) 1EB14BFB-87E1-3DA1-89F5-A3FCAB099675 <10 8 7 6>
   12    1 0xffffff8001ef0000 0x3ff8     0x3ff8     com.apple.kec.Compression (1.0) 9F710EBC-01AB-390D-9F18-94224BBD206A <10 8 7 6>
   13    2 0xffffff8002eb6000 0xdfe0     0xdfe0     com.apple.kec.Libm (1) 9EF4CA58-3151-32C3-A096-E93FC7E70C91 <6>
   14    0 0xffffff8002fd7000 0x2000     0x2000     com.apple.kec.XrtHostedXnu (1) 39F22342-CA29-3C9B-9799-D53E003FC17C <8 6>
   15    0 0xffffff800329d000 0x7000     0x7000     com.apple.kec.pthread (1) 61A4986C-5BEF-36B7-9B2E-61F7E69AA8A6 <9 8 7 6 3 1>
   16    1 0xffffff80032b2000 0x2fff     0x2fff     com.apple.driver.watchdog (1) 4666644E-D886-3732-9DB5-251F4321768C <9 8 7 6 3 1>
   17   34 0xffffff8002407000 0x2000     0x2000     com.apple.iokit.IOACPIFamily (1.4) 50D529B0-A929-3533-839B-6CE41FC937F2 <9 8 6 3>
   18   47 0xffffff8002886000 0x35000    0x35000    com.apple.iokit.IOPCIFamily (2.9) 1224B03E-2295-392C-9019-BF418D27F860 <9 8 7 6 3>
   19   11 0xffffff8001bca000 0x19ffe    0x19ffe    com.apple.driver.AppleSMC (3.1.9) CB4E3E0B-2583-3476-A215-30C8233D2D64 <18 17 16 9 8 7 6 3 1>
